,공원명,면적,주소,경도,위도
98,월천근린공원,10712,서울특별시 도봉구 창동 28번지,127.0509895,37.6473889
99,용두근린공원,17182,서울특별시 동대문구 용두동 34-1번지 일대,127.0390042,37.5732791
100,상암근린공원,160349,서울특별시 마포구 상암동 1761,126.8859012,37.5760106
101,와우근린공원,87432,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),126.9289936,37.5517298
102,금호근린공원,13467,서울특별시 성동구 장터1길 18,127.0189457,37.5494726
103,달맞이근린공원,46871,서울특별시 성동구 옥수동 산1-1,127.0212054,37.543564
104,문정근린공원,49972,서울특별시 송파구 문정동 18-4,127.1275819,37.4862156
105,문화예술공원,74385,서울특별시 서초구 바우뫼로12길 40 (양재동),127.030517,37.467654
106,세종로공원,8868,서울특별시 종로구 세종대로 189 (우) 03172,126.9758875,37.5735
107,샘말공원(관악산),10634,서울특별시 관악구 대학동 산63-1일대 샘말공원,126.938511,37.4642128
108,초안산생태공원,22113,서울특별시 도봉구 창동 산24,127.0405382,37.6479483
110,서오능도시자연공원,1082847,서울특별시 은평구 구파발동 갈현동 진관내동,126.9134338,37.6374823
111,청계산도시자연공원,3692455,서울특별시 서초구 원지동 산 33,127.0424726,37.4224347
112,개화근린공원,386500,서울특별시 강서구 개화동 산17,126.8068278,37.5813917
113,아차산생태공원,23450,서울특별시 광진구 광장동 370,127.1010031,37.5517142
114,인능산도시자연공원,2400833,서울특별시 서초구 내곡동 산12-404,127.0666632,37.4482109
115,구룡산,2752421,서울특별시 서초구 염곡동 산25-1,127.061567,37.4689473
116,우면산도시자연공원,4180551,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484
117,향림근린공원,147859,서울특별시 은평구 진관동 산55,126.9240693,37.6293824
118,신사근린공원,111650,서울특별시 은평구 신사동 산80-4,126.9102948,37.5920771
120,광평근린공원,519782,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445
121,청담근린공원,59347,서울특별시 강남구 청담동 66,127.052453,37.5213259
122,허브천문공원,25500,서울특별시 강동구 둔촌동 산94,127.1533951,37.5372715
123,연신내물빛공원,2560,서울특별시 은평구 통일로 849,126.9207354,37.619052
124,나들이근린공원,32000,서울특별시 중구 망우동 산 30-7 일대,127.113261,37.6054218
125,숭인근린공원,45615,서울특별시 종로구 숭인동 58,127.0178267,37.5764419
126,서일대뒷산공원,631021,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155
127,용마도시자연공원(사가정공원),109635,서울특별시 중랑구 면목7동 산50 ,127.095997,37.5797622
128,문화비축기지,140022,서울특별시 마포구 증산로 87,126.8932455,37.57171848
129,경춘선숲길,211392,노원구 공릉2동 산 82-2,127.076482,37.627077
130,율현공원,157535,서울특별시 강남구 율현동 밤고개로24길(율현동 56),127.115594,37.472332
